case_id,default_candidate_variant,default_candidate_audio_path,review_variants,variant_count,generated_count
forest_bird_branch_001,naive_rich,artifacts/model_runs/w18_dss_ablation/forest_bird_branch_001/naive_rich/w18_002_forest_bird_branch_001_naive_rich.wav,,5,5
glass_drop_room_001,dss_layer_avoid,artifacts/model_runs/w18_dss_ablation/glass_drop_room_001/dss_layer_avoid/w18_010_glass_drop_room_001_dss_layer_avoid.wav,,5,5
kitchen_chop_sizzle_001,dss_global,artifacts/model_runs/w18_dss_ablation/kitchen_chop_sizzle_001/dss_global/w18_013_kitchen_chop_sizzle_001_dss_global.wav,,5,5
robot_warehouse_pick_001,dss_event_timeline,artifacts/model_runs/w18_dss_ablation/robot_warehouse_pick_001/dss_event_timeline/w18_019_robot_warehouse_pick_001_dss_event_timeline.wav,,5,5
street_rain_crosswalk_001,dss_event_timeline,artifacts/model_runs/w18_dss_ablation/street_rain_crosswalk_001/dss_event_timeline/w18_024_street_rain_crosswalk_001_dss_event_timeline.wav,,5,5
subway_arrival_door_001,naive,artifacts/model_runs/w18_dss_ablation/subway_arrival_door_001/naive/w18_026_subway_arrival_door_001_naive.wav,dss_event_timeline|dss_layer_avoid,5,5
