date,label,tasks,blocking_sleep_ms,elapsed_ms,throughput_tasks_per_sec,notes
2026-05-06,platform-fixed-8,160,40,805,198.7578,fixed platform thread pool baseline
2026-05-06,virtual-thread-per-task,160,40,46,3478.2609,virtual thread per task executor
